Creature ID,Birth Time,Death Time,Life Time,Generation,Speed,Smell Radius,Full,Angle Change
385,9164,9195,31,23,0.03845573,2.994658,0.9256654,0.06328567
386,9170,9312,142,16,0.0255078,9.342071,0.8649358,0.1115889
387,9170,9210,40,17,0.05351515,4.855731,1.96722,0.5343211
388,9172,9238,66,12,0.1478266,4.640437,2.735875,0.1443478
389,9173,9233,60,11,0.167463,3.405553,2.936383,0.1298937
390,9176,9247,71,17,0.06443872,4.198255,1.790602,0.2066365
391,9176,9221,45,12,0.05341407,1.634643,1.077727,0.2807231
392,9177,9231,54,17,0.04738493,2.456481,1.336334,0.2805256
393,9178,9190,12,12,0.165327,1.86796,1.108309,0.1500648
394,9178,9281,103,15,0.04610841,7.077928,1.549752,0.4126827
395,9178,9257,79,25,0.09934451,12.67828,2.377057,0.7306772
396,9184,9203,19,23,0.05482815,8.060133,0.6384295,0.1265045
397,9185,9491,306,11,0.125362,3.106742,4.463786,0.198789
398,9185,9253,68,18,0.02840748,2.914148,1.454764,0.2170731
399,9187,9305,118,13,0.114972,3.934587,1.766563,0.1472819
400,9191,9235,44,10,0.0735283,2.10898,2.163802,0.1503982
